Customer_ID,Age,Country,Subscription_Plan,Monthly_Fee,Tenure_Months,Payment_Method,Login_Frequency,Support_Tickets,Feature_Usage_Score,Contract_Type,Churn_Status
CUST_0038,61,UK,Basic,924,26,PayPal,5,1,33.5,Monthly,Active
CUST_0039,47,Canada,Basic,1322,3,Credit Card,9,4,53.69,Annual,Churned
CUST_0040,21,Germany,Basic,724,12,PayPal,7,1,49.45,Monthly,Active
CUST_0041,30,Germany,Pro,3119,37,PayPal,1,3,58.91,Annual,Active
CUST_0042,31,Australia,Enterprise,7530,12,UPI,10,3,98.15,Annual,Active
CUST_0043,57,UK,Basic,1190,33,UPI,11,1,44.96,Annual,Active
CUST_0044,56,India,Pro,3704,33,UPI,8,2,55.31,Monthly,Active
CUST_0045,46,Germany,Basic,1343,27,PayPal,11,3,50.88,Annual,Active
CUST_0046,53,India,Enterprise,6935,42,Debit Card,4,2,70.69,Monthly,Churned
CUST_0047,53,Australia,Basic,1324,40,PayPal,10,3,33.29,Annual,Active
CUST_0048,42,Australia,Basic,1209,33,Credit Card,5,2,21.36,Monthly,Active
CUST_0049,24,Canada,Pro,2489,19,PayPal,11,1,76.25,Monthly,Churned
CUST_0050,20,India,Basic,957,34,Credit Card,5,1,55.9,Annual,Churned
CUST_0051,64,Germany,Pro,2787,32,Debit Card,10,1,53.48,Annual,Active
CUST_0052,35,Australia,Enterprise,7594,2,Credit Card,7,2,77.78,Monthly,Active
CUST_0053,40,India,Pro,2020,45,UPI,11,0,68.96,Monthly,Active
CUST_0054,29,UK,Basic,1373,27,PayPal,10,1,25.6,Monthly,Active
CUST_0055,43,India,Basic,1278,36,UPI,8,2,31.55,Monthly,Active
CUST_0056,51,India,Pro,3024,40,PayPal,11,1,62.05,Annual,Active
CUST_0057,64,Germany,Basic,1091,8,UPI,10,4,54.92,Monthly,Active
CUST_0058,25,Canada,Enterprise,8822,31,UPI,7,0,93.86,Annual,Active
CUST_0059,40,Australia,Basic,1026,4,PayPal,8,5,52.16,Annual,Active
CUST_0060,61,UK,Pro,3271,10,Debit Card,4,2,84.44,Annual,Active
CUST_0061,18,Australia,Enterprise,6632,24,PayPal,11,2,73.28,Annual,Churned
CUST_0062,60,India,Basic,717,3,Debit Card,13,1,21.47,Annual,Active
CUST_0063,28,Germany,Enterprise,6682,9,UPI,5,1,73.89,Monthly,Active
CUST_0064,43,Canada,Pro,1536,13,UPI,13,1,57.71,Monthly,Churned
CUST_0065,59,Canada,Basic,1166,7,Credit Card,6,1,50.11,Monthly,Active
CUST_0066,29,Canada,Basic,723,27,PayPal,13,2,23.36,Monthly,Active
CUST_0067,39,UK,Pro,2385,26,Credit Card,8,3,62.11,Monthly,Churned
CUST_0068,51,India,Enterprise,4038,29,UPI,7,3,85.81,Monthly,Churned
CUST_0069,20,India,Basic,1069,15,PayPal,9,1,55.76,Monthly,Churned
CUST_0070,46,USA,Basic,1192,3,Credit Card,2,2,56.47,Monthly,Churned
CUST_0071,39,India,Pro,1616,8,PayPal,3,2,70.66,Monthly,Active
CUST_0072,50,Germany,Enterprise,7496,22,UPI,4,1,71.19,Monthly,Active
CUST_0073,50,USA,Pro,3268,33,PayPal,8,1,62.27,Annual,Active
CUST_0074,26,India,Basic,915,12,PayPal,13,0,31.95,Monthly,Churned
CUST_0075,62,India,Pro,2249,8,Debit Card,4,2,61.79,Monthly,Churned
CUST_0076,52,UK,Basic,1449,33,Debit Card,12,3,21.23,Annual,Active
CUST_0077,29,Australia,Basic,1029,15,Credit Card,8,1,45.26,Monthly,Active
CUST_0078,56,USA,Basic,629,17,Credit Card,9,0,23.81,Monthly,Active
CUST_0079,27,Germany,Pro,2780,8,PayPal,5,4,65.73,Annual,Active
CUST_0080,37,Canada,Basic,1141,37,Debit Card,6,0,24.92,Monthly,Active
CUST_0081,41,Canada,Pro,1625,29,UPI,6,2,83.31,Annual,Active
CUST_0082,18,India,Pro,2881,22,Credit Card,5,3,80.38,Annual,Active
CUST_0083,18,Canada,Basic,1475,5,UPI,9,0,53.07,Annual,Active
CUST_0084,21,UK,Pro,3944,19,UPI,11,1,77.92,Monthly,Churned
CUST_0085,31,Germany,Pro,2526,8,Credit Card,5,4,68.98,Annual,Active
CUST_0086,62,UK,Pro,2514,15,Credit Card,6,1,81.39,Monthly,Active
CUST_0087,52,UK,Pro,1605,18,Credit Card,10,2,71.36,Annual,Active
CUST_0088,62,UK,Pro,3688,21,PayPal,10,3,71.06,Annual,Active
CUST_0089,22,USA,Basic,982,33,Credit Card,3,2,54.77,Monthly,Active
CUST_0090,42,Australia,Enterprise,9922,18,Credit Card,9,0,87.91,Monthly,Active
CUST_0091,20,Australia,Basic,852,41,Debit Card,9,1,29.07,Monthly,Active
CUST_0092,55,Germany,Pro,3901,8,UPI,9,3,65.62,Monthly,Active
CUST_0093,22,Canada,Pro,2771,30,UPI,8,1,68.9,Monthly,Churned
CUST_0094,44,Canada,Basic,948,23,UPI,12,1,32.22,Monthly,Active
CUST_0095,32,Germany,Basic,1077,35,UPI,12,1,26.15,Monthly,Churned
CUST_0096,42,Australia,Basic,672,32,Debit Card,6,0,41.98,Annual,Active
CUST_0097,48,Canada,Basic,966,25,PayPal,6,0,27.67,Monthly,Churned
CUST_0098,33,India,Pro,2108,39,UPI,8,2,67.83,Monthly,Churned
CUST_0099,39,Germany,Enterprise,9302,27,PayPal,10,0,82.48,Monthly,Churned
CUST_0100,28,Australia,Basic,807,26,Credit Card,10,3,30.64,Monthly,Active
CUST_0101,57,India,Basic,1214,8,PayPal,9,0,39.82,Annual,Churned
CUST_0102,41,Australia,Basic,516,21,UPI,11,0,58.26,Monthly,Active
CUST_0103,25,USA,Pro,2420,15,PayPal,6,4,84.16,Monthly,Active
CUST_0104,49,India,Pro,2749,15,PayPal,6,3,54.48,Monthly,Active
CUST_0105,49,Germany,Basic,538,41,PayPal,7,2,53.86,Monthly,Active
CUST_0106,19,UK,Basic,962,31,Debit Card,8,0,23.67,Monthly,Active
CUST_0107,54,UK,Basic,861,8,Credit Card,9,1,42.32,Annual,Active
CUST_0108,39,USA,Pro,1813,17,Credit Card,8,3,51.24,Monthly,Active
CUST_0109,57,Germany,Basic,701,4,UPI,7,1,44.78,Monthly,Active
CUST_0110,36,Germany,Basic,559,46,Credit Card,8,2,32.88,Monthly,Active
CUST_0111,64,Germany,Enterprise,5019,33,Credit Card,9,1,78.98,Monthly,Churned
CUST_0112,62,Canada,Pro,3400,19,Credit Card,9,3,77.39,Annual,Churned
CUST_0113,61,USA,Basic,1042,25,Credit Card,4,2,56.9,Monthly,Active
CUST_0114,59,UK,Pro,2081,45,Credit Card,7,2,52.29,Monthly,Active
CUST_0115,38,Canada,Basic,991,14,PayPal,10,1,51.51,Monthly,Active
CUST_0116,50,UK,Pro,2072,43,Debit Card,6,4,80.1,Annual,Active
CUST_0117,41,USA,Pro,2817,10,PayPal,9,1,78.22,Monthly,Active
CUST_0118,57,Australia,Enterprise,8976,25,Debit Card,7,0,70.82,Monthly,Churned
CUST_0119,29,Australia,Pro,1975,37,Debit Card,13,1,76.51,Annual,Active
CUST_0120,60,Germany,Basic,1489,19,Credit Card,12,4,44.61,Annual,Churned
CUST_0121,46,USA,Basic,985,19,Debit Card,11,4,41.63,Annual,Active
CUST_0122,39,USA,Pro,3174,27,Credit Card,6,3,79.53,Annual,Active
CUST_0123,42,India,Basic,642,35,UPI,10,1,28.51,Monthly,Churned
CUST_0124,25,USA,Basic,1158,14,Debit Card,3,1,59.07,Annual,Active
CUST_0125,20,Germany,Pro,3831,7,PayPal,8,1,50.63,Monthly,Churned
CUST_0126,31,Canada,Pro,3262,14,Debit Card,8,2,57.92,Monthly,Active
CUST_0127,38,Germany,Pro,2848,37,PayPal,10,4,58.83,Annual,Active
CUST_0128,37,UK,Pro,1678,7,Credit Card,8,2,58.31,Monthly,Active
CUST_0129,44,UK,Basic,879,29,PayPal,9,2,38.79,Monthly,Churned
CUST_0130,59,Australia,Basic,881,24,PayPal,7,1,31.11,Monthly,Active
CUST_0131,61,UK,Pro,2083,45,Debit Card,5,1,81.77,Monthly,Churned
CUST_0132,64,Australia,Enterprise,9777,30,PayPal,11,3,73.43,Monthly,Churned
CUST_0133,20,UK,Pro,2128,38,Debit Card,11,1,81.59,Monthly,Active
CUST_0134,53,India,Pro,1874,38,PayPal,14,1,68.99,Annual,Active
CUST_0135,37,Canada,Basic,701,28,UPI,4,4,45.83,Monthly,Churned
CUST_0136,22,India,Basic,843,11,Debit Card,6,1,40.22,Monthly,Active
CUST_0137,54,Australia,Enterprise,7158,18,UPI,10,3,83.32,Monthly,Churned
CUST_0138,38,Canada,Basic,1032,39,Debit Card,9,2,58.66,Annual,Churned
CUST_0139,22,Germany,Basic,663,27,Debit Card,11,4,56.28,Monthly,Churned
CUST_0140,50,Canada,Pro,3954,11,Debit Card,12,2,63.53,Monthly,Churned
CUST_0141,22,Australia,Pro,3224,16,UPI,13,1,82.42,Monthly,Churned
CUST_0142,53,USA,Pro,3548,13,PayPal,9,1,52.42,Monthly,Churned
CUST_0143,30,Canada,Enterprise,9409,19,Debit Card,6,0,70.18,Monthly,Churned
CUST_0144,51,UK,Basic,1403,27,Credit Card,5,1,31.7,Annual,Churned
CUST_0145,40,Canada,Enterprise,9575,20,PayPal,10,1,86.64,Annual,Churned
CUST_0146,29,Canada,Basic,940,29,Debit Card,5,2,20.01,Monthly,Active
CUST_0147,36,India,Pro,3197,36,PayPal,8,3,60.97,Monthly,Active
CUST_0148,54,Canada,Enterprise,4522,47,Credit Card,10,2,98.52,Annual,Churned
CUST_0149,54,USA,Pro,3578,9,Credit Card,10,3,75.19,Annual,Active
CUST_0150,52,Canada,Pro,3596,10,Credit Card,8,3,53.9,Annual,Active
CUST_0151,43,UK,Pro,1618,47,Debit Card,6,1,77.09,Monthly,Churned
CUST_0152,24,India,Basic,1137,16,UPI,10,0,42.83,Monthly,Churned
CUST_0153,45,Canada,Basic,623,26,Debit Card,13,3,38.95,Monthly,Active
CUST_0154,18,Canada,Basic,1063,47,Debit Card,6,1,33.49,Annual,Active
CUST_0155,38,Canada,Enterprise,7645,18,PayPal,11,1,94.21,Annual,Active
CUST_0156,43,UK,Pro,2855,25,Debit Card,4,4,59.08,Annual,Active
CUST_0157,25,USA,Basic,507,36,Debit Card,7,0,50.92,Monthly,Active
CUST_0158,59,Australia,Pro,3251,40,PayPal,6,0,78.28,Monthly,Active
CUST_0159,44,Germany,Enterprise,6176,29,UPI,4,1,71.35,Annual,Active
CUST_0160,46,Germany,Pro,2605,1,UPI,5,0,72.98,Monthly,Active
CUST_0161,62,Germany,Basic,1079,11,PayPal,13,1,43.26,Monthly,Churned
CUST_0162,63,Germany,Basic,1335,35,UPI,11,1,31.81,Monthly,Active
CUST_0163,23,India,Basic,1149,39,UPI,3,3,28.02,Annual,Active
CUST_0164,40,Australia,Pro,2368,27,Debit Card,8,2,74.94,Monthly,Churned
CUST_0165,26,USA,Basic,979,17,PayPal,12,4,21.7,Annual,Churned
CUST_0166,30,Australia,Basic,839,3,UPI,10,1,59.14,Annual,Active
CUST_0167,51,Australia,Basic,1399,29,PayPal,10,0,42.36,Annual,Churned
CUST_0168,21,Germany,Pro,3037,37,Debit Card,8,0,80.5,Monthly,Churned
CUST_0169,29,Canada,Pro,2016,14,Debit Card,6,1,75.64,Annual,Active
CUST_0170,24,Germany,Pro,3049,29,Debit Card,5,1,77.33,Annual,Churned
CUST_0171,58,Germany,Pro,2991,27,Debit Card,8,1,64.8,Annual,Churned
CUST_0172,58,USA,Basic,607,35,Credit Card,6,2,38.32,Monthly,Active
CUST_0173,18,India,Basic,1484,15,UPI,5,0,26.19,Annual,Active
CUST_0174,24,India,Basic,663,10,Credit Card,6,1,57.59,Annual,Active
CUST_0175,45,UK,Enterprise,8739,9,Debit Card,9,1,83.03,Monthly,Churned
CUST_0176,60,USA,Basic,795,3,Credit Card,10,1,34.19,Annual,Churned
CUST_0177,63,UK,Basic,572,43,Credit Card,11,2,28.25,Annual,Active
CUST_0178,28,UK,Pro,2728,7,UPI,7,1,60.54,Monthly,Churned
CUST_0179,38,USA,Pro,3850,35,PayPal,6,0,73.98,Annual,Active
CUST_0180,63,Australia,Enterprise,7935,46,Debit Card,8,6,93.59,Monthly,Active
CUST_0181,30,Germany,Pro,1994,45,Debit Card,1,3,67.13,Monthly,Churned
CUST_0182,60,USA,Pro,1998,10,UPI,6,1,58.45,Annual,Active
CUST_0183,60,India,Pro,1518,40,Debit Card,9,1,73.76,Annual,Active
CUST_0184,22,USA,Pro,2530,39,UPI,4,3,77.05,Monthly,Active
CUST_0185,18,Australia,Basic,1097,44,Debit Card,8,3,53.73,Annual,Active
CUST_0186,57,Australia,Enterprise,4731,45,Debit Card,7,3,86.37,Monthly,Churned
CUST_0187,48,India,Pro,2397,9,Credit Card,4,5,73.16,Monthly,Active
CUST_0188,61,Canada,Pro,2082,28,Debit Card,10,3,73.19,Monthly,Active
CUST_0189,47,India,Enterprise,6347,16,Debit Card,10,1,92.37,Monthly,Active
CUST_0190,30,Canada,Pro,3109,15,PayPal,10,5,73.17,Monthly,Active
CUST_0191,46,Germany,Basic,576,2,UPI,11,1,53.02,Annual,Active
CUST_0192,38,USA,Pro,3494,35,Debit Card,1,3,50.48,Monthly,Churned
CUST_0193,20,Germany,Pro,3685,4,Credit Card,14,3,63.67,Monthly,Active
CUST_0194,35,Germany,Basic,574,5,Credit Card,7,1,26.69,Monthly,Active
CUST_0195,63,UK,Basic,903,33,UPI,13,1,47.42,Monthly,Active
CUST_0196,47,UK,Enterprise,6387,16,Debit Card,10,5,96.43,Monthly,Churned
CUST_0197,29,USA,Pro,2424,11,PayPal,6,3,52.98,Monthly,Churned
CUST_0198,40,Canada,Pro,1609,29,Credit Card,5,2,72.07,Monthly,Active
CUST_0199,40,USA,Basic,530,28,UPI,6,2,32.1,Annual,Active
CUST_0200,59,India,Basic,725,13,Credit Card,6,3,38.34,Monthly,Active
CUST_0201,26,USA,Basic,927,7,UPI,11,5,47.48,Monthly,Active
CUST_0202,47,USA,Enterprise,5666,34,Credit Card,14,1,75.49,Monthly,Active
CUST_0203,21,Australia,Basic,1138,20,UPI,6,6,44.01,Annual,Active
CUST_0204,19,India,Pro,2412,13,Credit Card,5,2,74.64,Annual,Active
CUST_0205,48,India,Basic,883,33,Debit Card,14,0,21.4,Monthly,Active
CUST_0206,50,Canada,Basic,1232,40,Credit Card,5,2,54.26,Monthly,Active
CUST_0207,57,India,Enterprise,8763,6,PayPal,9,4,87.92,Monthly,Churned
CUST_0208,45,USA,Basic,709,33,PayPal,6,1,59.67,Annual,Active
CUST_0209,51,Australia,Basic,1419,42,Credit Card,8,3,38.84,Monthly,Active
CUST_0210,21,India,Basic,682,25,Debit Card,10,3,24.28,Monthly,Churned
CUST_0211,61,Germany,Pro,3487,21,UPI,7,1,70.35,Monthly,Active
CUST_0212,62,UK,Pro,2084,2,UPI,5,3,81.35,Annual,Churned
CUST_0213,48,USA,Pro,3219,31,Debit Card,7,3,62.16,Monthly,Active
CUST_0214,34,Canada,Pro,3176,17,PayPal,9,0,52.96,Annual,Churned
CUST_0215,40,Germany,Pro,3573,26,Credit Card,8,3,82.8,Monthly,Active
CUST_0216,49,Germany,Enterprise,6091,17,Debit Card,10,2,94.44,Monthly,Active
CUST_0217,20,Germany,Basic,1291,31,PayPal,14,4,58.75,Annual,Active
CUST_0218,35,UK,Basic,1389,37,PayPal,12,0,40.56,Monthly,Active
CUST_0219,30,Australia,Enterprise,9634,12,Debit Card,8,1,99.93,Monthly,Active
CUST_0220,42,USA,Pro,2516,30,UPI,4,1,74.16,Annual,Active
CUST_0221,34,USA,Basic,1075,42,UPI,8,2,31.11,Monthly,Churned
CUST_0222,43,UK,Basic,782,8,PayPal,8,2,42.64,Monthly,Churned
CUST_0223,29,USA,Basic,1162,10,PayPal,12,2,28.45,Monthly,Active
CUST_0224,47,Canada,Basic,970,43,Debit Card,10,2,52.11,Annual,Active
CUST_0225,21,USA,Basic,1301,9,UPI,12,2,21.2,Annual,Active
CUST_0226,18,USA,Basic,840,26,Credit Card,10,1,51.18,Annual,Churned
CUST_0227,20,India,Pro,3729,16,PayPal,1,1,71.11,Monthly,Churned
CUST_0228,59,India,Basic,1344,42,PayPal,7,2,46.45,Monthly,Active
CUST_0229,51,Canada,Pro,1559,36,Debit Card,8,0,77.21,Monthly,Active
CUST_0230,31,Australia,Pro,3861,6,UPI,10,1,64.23,Annual,Active
CUST_0231,31,Germany,Basic,1217,16,Credit Card,11,2,49.15,Monthly,Active
CUST_0232,63,UK,Basic,1482,13,PayPal,8,0,52.61,Monthly,Churned
CUST_0233,28,USA,Pro,2065,29,PayPal,6,4,65.54,Annual,Active
CUST_0234,61,Canada,Pro,3144,39,UPI,6,3,58.99,Monthly,Active
CUST_0235,43,India,Basic,576,20,Debit Card,6,2,41.65,Monthly,Active
CUST_0236,59,Germany,Basic,1366,47,UPI,8,1,52.4,Annual,Active
CUST_0237,21,UK,Basic,804,11,Credit Card,8,1,47.04,Monthly,Churned
CUST_0238,63,Australia,Basic,592,46,Credit Card,11,3,54.91,Monthly,Churned
CUST_0239,51,India,Basic,1143,26,Credit Card,3,0,28.35,Monthly,Churned
CUST_0240,60,Canada,Pro,3369,28,Debit Card,5,4,55.19,Monthly,Active
CUST_0241,47,India,Basic,589,7,PayPal,10,1,31.08,Annual,Active
CUST_0242,56,USA,Enterprise,4404,29,Credit Card,5,3,70.39,Monthly,Churned
CUST_0243,28,Germany,Pro,2221,34,PayPal,13,0,59.26,Annual,Active
CUST_0244,49,Australia,Pro,2389,29,PayPal,3,5,52.8,Monthly,Churned
CUST_0245,38,Germany,Basic,635,13,Debit Card,10,2,42.95,Annual,Active
CUST_0246,43,USA,Pro,1919,43,PayPal,7,0,62.53,Monthly,Active
CUST_0247,26,India,Basic,967,4,UPI,7,0,43.18,Monthly,Active
CUST_0248,19,Canada,Pro,1674,47,UPI,12,2,82.29,Annual,Active
CUST_0249,45,Germany,Pro,3800,37,PayPal,9,0,56.34,Monthly,Active
CUST_0250,38,UK,Basic,584,1,PayPal,10,1,59.66,Annual,Churned
CUST_0251,24,Australia,Pro,3887,27,Debit Card,10,1,74.48,Monthly,Churned
CUST_0252,55,USA,Basic,574,40,Credit Card,3,2,43.39,Monthly,Active
CUST_0253,42,UK,Basic,1007,34,UPI,10,2,24.87,Monthly,Active
CUST_0254,60,Australia,Basic,509,18,Credit Card,8,2,40.72,Monthly,Active
CUST_0255,19,Canada,Pro,2437,31,Debit Card,4,0,75.76,Annual,Churned
CUST_0256,53,Germany,Pro,2048,9,Debit Card,13,3,58.37,Monthly,Churned
CUST_0257,35,Germany,Basic,1351,19,PayPal,7,1,49.81,Annual,Active
CUST_0258,47,India,Basic,1484,40,Debit Card,10,2,56.13,Annual,Active
CUST_0259,51,UK,Basic,574,14,UPI,11,3,54.46,Annual,Active
CUST_0260,33,India,Pro,1671,11,PayPal,14,1,56.81,Annual,Active
CUST_0261,32,India,Basic,526,36,Debit Card,10,1,47.17,Monthly,Churned
CUST_0262,24,India,Enterprise,7998,25,UPI,7,2,73.66,Annual,Active
CUST_0263,34,Australia,Basic,1002,21,PayPal,5,2,50.08,Annual,Churned
CUST_0264,60,Australia,Enterprise,6721,38,UPI,8,2,75.03,Annual,Churned
CUST_0265,51,USA,Basic,1373,13,UPI,8,1,30.98,Annual,Active
CUST_0266,24,UK,Pro,1969,4,Debit Card,5,1,77.39,Annual,Active
CUST_0267,41,Germany,Basic,1339,24,PayPal,5,5,32.31,Monthly,Active
CUST_0268,34,Canada,Basic,970,46,Credit Card,6,1,26.57,Monthly,Active
CUST_0269,38,Australia,Enterprise,4491,40,Debit Card,4,7,83.2,Monthly,Active
CUST_0270,34,India,Pro,3361,41,PayPal,6,3,72.92,Monthly,Churned
CUST_0271,44,UK,Enterprise,5590,16,Debit Card,12,1,94.87,Annual,Active
CUST_0272,24,Germany,Pro,2169,17,PayPal,13,1,78.5,Monthly,Churned
CUST_0273,43,India,Basic,573,43,Credit Card,5,2,49.01,Annual,Active
CUST_0274,34,Canada,Basic,867,11,PayPal,7,2,43.26,Monthly,Active
CUST_0275,64,Australia,Enterprise,7276,15,UPI,8,3,77.71,Monthly,Active
CUST_0276,43,Canada,Basic,807,7,Debit Card,5,0,51.65,Monthly,Active
CUST_0277,56,India,Basic,1411,7,Credit Card,11,3,39.21,Monthly,Churned
CUST_0278,45,India,Basic,1435,9,PayPal,11,3,21.57,Monthly,Active
CUST_0279,47,USA,Basic,1499,19,Debit Card,7,3,38.94,Monthly,Churned
CUST_0280,38,Canada,Pro,1921,24,UPI,7,0,80.03,Annual,Active
CUST_0281,18,Canada,Pro,2015,34,PayPal,13,1,56.11,Annual,Churned
CUST_0282,46,USA,Basic,752,21,PayPal,9,1,46.33,Monthly,Active
CUST_0283,55,Canada,Basic,765,21,Credit Card,6,2,46.91,Monthly,Active
CUST_0284,49,USA,Enterprise,4024,34,Debit Card,8,3,73.58,Monthly,Active
CUST_0285,47,Germany,Basic,1405,11,Credit Card,10,0,36.17,Monthly,Churned
CUST_0286,35,Germany,Enterprise,4004,13,Credit Card,10,2,74.94,Monthly,Active
CUST_0287,26,USA,Basic,1496,11,Credit Card,9,2,41.49,Annual,Churned
CUST_0288,46,Canada,Basic,736,27,UPI,8,1,25.92,Monthly,Active
CUST_0289,22,Canada,Enterprise,7765,35,PayPal,12,2,88.64,Monthly,Churned
CUST_0290,29,Germany,Enterprise,7985,36,PayPal,11,2,71.41,Monthly,Churned
CUST_0291,59,USA,Basic,1363,27,UPI,6,2,34.19,Annual,Churned
CUST_0292,48,Canada,Pro,2691,43,UPI,13,0,60.88,Monthly,Active
CUST_0293,48,Germany,Enterprise,7926,20,UPI,7,0,74.75,Monthly,Active
CUST_0294,62,Australia,Basic,1260,4,Credit Card,4,0,26.65,Monthly,Churned
CUST_0295,44,India,Enterprise,6738,1,Debit Card,4,1,85.65,Monthly,Active
CUST_0296,55,USA,Basic,646,33,UPI,11,1,51.34,Monthly,Active
CUST_0297,22,Australia,Basic,1029,29,UPI,9,0,32.97,Annual,Active
CUST_0298,40,India,Basic,872,23,Debit Card,12,4,42.83,Monthly,Churned
CUST_0299,47,Canada,Basic,1227,4,PayPal,10,4,22.36,Annual,Churned
CUST_0300,62,Australia,Pro,2570,32,UPI,12,3,55.02,Annual,Active
CUST_0301,22,India,Pro,3705,20,PayPal,5,1,81.34,Annual,Churned
CUST_0302,24,Australia,Basic,639,44,PayPal,11,1,57.94,Monthly,Active
CUST_0303,51,USA,Pro,2601,37,Debit Card,5,2,78.52,Monthly,Churned
CUST_0304,34,Canada,Basic,1222,10,PayPal,5,1,36.45,Annual,Active
CUST_0305,61,Australia,Basic,960,14,PayPal,4,3,54.33,Annual,Active
CUST_0306,60,Canada,Pro,1726,12,UPI,12,4,78.56,Monthly,Churned
CUST_0307,24,Canada,Basic,569,32,PayPal,6,2,27.27,Annual,Active
CUST_0308,32,Germany,Pro,3107,33,Credit Card,5,2,70.21,Annual,Active
CUST_0309,50,USA,Basic,857,28,PayPal,10,2,25.82,Monthly,Active
CUST_0310,32,India,Basic,1059,9,Debit Card,10,2,24.5,Monthly,Active
CUST_0311,18,India,Pro,1780,20,PayPal,5,3,76.31,Monthly,Active
CUST_0312,64,USA,Enterprise,4688,5,Debit Card,8,4,99.43,Monthly,Active
CUST_0313,55,USA,Pro,1857,11,Credit Card,6,4,79.36,Monthly,Active
CUST_0314,27,India,Pro,2048,23,UPI,6,3,52.0,Monthly,Active
CUST_0315,25,Germany,Pro,2565,27,PayPal,8,2,62.34,Annual,Active
CUST_0316,39,Canada,Pro,2035,1,Credit Card,2,3,60.01,Monthly,Churned
CUST_0317,62,UK,Enterprise,6496,10,Debit Card,10,3,70.44,Monthly,Active
CUST_0318,40,USA,Pro,2562,7,Debit Card,8,2,82.04,Annual,Active
CUST_0319,42,UK,Pro,3100,22,Debit Card,7,1,53.75,Monthly,Churned
CUST_0320,64,Germany,Basic,1321,17,Credit Card,14,2,26.89,Monthly,Churned
CUST_0321,34,Canada,Basic,531,17,UPI,6,1,57.63,Monthly,Active
CUST_0322,32,Australia,Basic,581,44,Debit Card,9,1,38.31,Monthly,Active
CUST_0323,54,USA,Basic,597,5,UPI,8,3,51.8,Monthly,Active
CUST_0324,40,India,Basic,944,44,PayPal,10,0,25.74,Monthly,Active
